web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1767779644-252","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 26, 2024","595.00","635.00","595.00","620.00","611.46","17,100"
"1767779644-253","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 25, 2024","620.00","640.00","595.00","605.00","596.66","22,800"
"1767779644-254","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 22, 2024","645.00","655.00","595.00","610.00","601.59","22,300"
"1767779644-255","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 21, 2024","585.00","650.00","575.00","610.00","601.59","18,600"
"1767779644-256","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 20, 2024","610.00","610.00","570.00","605.00","596.66","16,600"
"1767779644-257","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 19, 2024","580.00","625.00","565.00","610.00","601.59","16,200"
"1767779644-258","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 18, 2024","605.00","610.00","550.00","595.00","586.80","49,600"
"1767779644-259","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 15, 2024","635.00","635.00","600.00","630.00","621.32","3,000"
"1767779644-260","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 14, 2024","625.00","630.00","625.00","625.00","616.39","700"
"1767779644-261","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 13, 2024","635.00","635.00","625.00","625.00","616.39","5,300"
"1767779644-262","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 12, 2024","645.00","645.00","635.00","635.00","626.25","1,400"
"1767779644-263","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 11, 2024","635.00","650.00","610.00","650.00","641.04","19,700"
"1767779644-264","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 8, 2024","650.00","650.00","640.00","640.00","631.18","6,600"
"1767779644-265","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 7, 2024","645.00","650.00","600.00","645.00","636.11","42,700"
"1767779644-266","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 6, 2024","650.00","660.00","635.00","660.00","650.90","25,200"
"1767779644-267","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 5, 2024","660.00","665.00","650.00","665.00","655.84","23,700"
"1767779644-268","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 4, 2024","660.00","660.00","640.00","660.00","650.90","22,100"
